Boundarynumber	Year	Dayofyear	Hour	Minute	Second	Orbitnumber	XMSO(km)	YMSO(km)	ZMSO(km)
3.0	2011.0	96.0	15.0	14.0	5.9	39.0	3469.72	-203.337	2549.768
4.0	2011.0	96.0	15.0	14.0	50.8	39.0	3350.882	-180.611	2592.709
5.0	2011.0	96.0	16.0	33.0	46.5	39.0	-4078.747	-88.208	-5801.762
6.0	2011.0	96.0	16.0	34.0	54.8	39.0	-4053.792	-108.173	-5936.084
7.0	2011.0	96.0	17.0	7.0	27.9	39.0	-3016.306	-652.172	-9138.414
8.0	2011.0	96.0	17.0	18.0	20.8	39.0	-2584.268	-822.118	-9997.721
1.0	2011.0	97.0	3.0	7.0	10.8	40.0	5022.722	-692.728	1777.318
2.0	2011.0	97.0	3.0	9.0	57.8	40.0	4672.228	-604.248	1985.43
3.0	2011.0	97.0	3.0	19.0	36.9	40.0	3280.175	-275.58	2617.404
4.0	2011.0	97.0	3.0	22.0	12.5	40.0	2855.001	-182.331	2749.824
5.0	2011.0	97.0	4.0	47.0	39.5	40.0	-3853.904	-125.283	-6857.639
6.0	2011.0	97.0	4.0	48.0	8.0	40.0	-3840.435	-133.991	-6908.824
7.0	2011.0	97.0	5.0	14.0	52.2	40.0	-2928.185	-603.972	-9381.34
8.0	2011.0	97.0	5.0	29.0	12.6	40.0	-2352.825	-843.412	-10464.876
1.0	2011.0	97.0	15.0	16.0	2.3	41.0	4427.843	-691.777	2110.659
2.0	2011.0	97.0	15.0	18.0	18.7	41.0	4115.681	-605.466	2269.105
3.0	2011.0	97.0	15.0	24.0	31.5	41.0	3184.856	-359.081	2648.743
4.0	2011.0	97.0	15.0	26.0	12.2	41.0	2909.516	-289.338	2734.637
5.0	2011.0	97.0	16.0	45.0	40.7	41.0	-4020.238	120.124	-6155.217
6.0	2011.0	97.0	16.0	46.0	14.7	41.0	-4007.332	109.451	-6219.41
7.0	2011.0	97.0	17.0	10.0	37.6	41.0	-3271.091	-349.461	-8650.772
8.0	2011.0	97.0	17.0	19.0	30.3	41.0	-2944.075	-512.879	-9397.495
1.0	2011.0	98.0	3.0	20.0	48.0	42.0	4350.757	-815.517	2141.221
2.0	2011.0	98.0	3.0	21.0	15.0	42.0	4290.512	-796.68	2172.802
3.0	2011.0	98.0	3.0	30.0	4.6	42.0	2978.841	-404.173	2713.021
4.0	2011.0	98.0	3.0	33.0	41.4	42.0	2367.376	-232.673	2869.349
5.0	2011.0	98.0	4.0	47.0	59.3	42.0	-4063.82	289.852	-5910.88
6.0	2011.0	98.0	4.0	50.0	1.2	42.0	-4021.134	250.241	-6144.668
7.0	2011.0	98.0	5.0	20.0	25.9	42.0	-3093.879	-350.534	-9110.579
8.0	2011.0	98.0	5.0	26.0	0.4	42.0	-2886.471	-459.068	-9562.639
1.0	2011.0	98.0	15.0	25.0	20.4	43.0	4300.928	-943.826	2155.168
